ccn_sursaturation,ccn_flag,ccn_conc,datetime,pollution_flag
0.2,0.0,138.888,2021-02-06 10:56:21,0.0
0.2,0.0,144.896,2021-02-06 10:56:50,0.0
0.2,0.0,166.547,2021-02-06 10:56:52,0.0
0.2,0.0,131.006,2021-02-06 10:56:54,0.0
0.2,0.0,150.813,2021-02-06 10:56:59,0.0
0.2,0.0,148.791,2021-02-06 10:57:01,0.0
0.2,0.0,156.014,2021-02-06 10:57:05,0.0
0.2,0.0,149.459,2021-02-06 10:57:07,0.0
0.2,0.0,149.185,2021-02-06 10:57:14,0.0
0.2,0.0,144.579,2021-02-06 10:57:56,0.0
0.2,0.0,128.741,2021-02-06 10:58:06,0.0
0.2,0.0,153.183,2021-02-06 10:58:20,0.0
0.4,0.0,177.641,2021-02-06 11:01:37,0.0
0.4,0.0,183.402,2021-02-06 11:01:43,0.0
0.6,0.0,233.535,2021-02-06 11:07:29,0.0
0.6,0.0,255.465,2021-02-06 11:07:30,0.0
0.6,0.0,226.394,2021-02-06 11:07:36,0.0
0.6,0.0,224.659,2021-02-06 11:07:37,0.0
0.6,0.0,236.393,2021-02-06 11:07:38,0.0
0.6,0.0,202.36,2021-02-06 11:07:42,0.0
0.6,0.0,175.893,2021-02-06 11:07:48,0.0
0.6,0.0,204.599,2021-02-06 11:07:55,0.0
0.6,0.0,258.57,2021-02-06 11:07:57,0.0
0.6,0.0,237.149,2021-02-06 11:08:03,0.0
0.6,0.0,213.741,2021-02-06 11:08:04,0.0
0.6,0.0,261.077,2021-02-06 11:08:05,0.0
0.6,0.0,219.158,2021-02-06 11:08:06,0.0
0.6,0.0,217.685,2021-02-06 11:08:08,0.0
0.6,0.0,273.398,2021-02-06 11:08:18,0.0
0.6,0.0,200.244,2021-02-06 11:08:36,0.0
0.8,0.0,229.673,2021-02-06 11:10:32,0.0
0.8,0.0,237.53,2021-02-06 11:10:33,0.0
0.8,0.0,255.02,2021-02-06 11:10:35,0.0
0.8,0.0,227.424,2021-02-06 11:10:40,0.0
0.8,0.0,258.449,2021-02-06 11:10:41,0.0
0.8,0.0,212.969,2021-02-06 11:10:46,0.0
0.8,0.0,242.929,2021-02-06 11:10:52,0.0
0.8,0.0,268.252,2021-02-06 11:10:53,0.0
0.8,0.0,228.879,2021-02-06 11:10:54,0.0
0.8,0.0,289.788,2021-02-06 11:10:55,0.0
0.8,0.0,209.924,2021-02-06 11:11:00,0.0
0.8,0.0,284.925,2021-02-06 11:11:01,0.0
0.8,0.0,241.468,2021-02-06 11:11:09,0.0
0.8,0.0,224.636,2021-02-06 11:11:10,0.0
0.8,0.0,253.167,2021-02-06 11:11:21,0.0
0.8,0.0,204.17,2021-02-06 11:11:22,0.0
0.8,0.0,190.03,2021-02-06 11:11:23,0.0
0.8,0.0,231.111,2021-02-06 11:11:24,0.0
0.8,0.0,273.248,2021-02-06 11:11:27,0.0
0.8,0.0,248.332,2021-02-06 11:11:29,0.0
0.8,0.0,245.348,2021-02-06 11:11:38,0.0
0.8,0.0,257.162,2021-02-06 11:11:39,0.0
0.8,0.0,282.254,2021-02-06 11:11:40,0.0
0.8,0.0,276.117,2021-02-06 11:11:44,0.0
0.8,0.0,273.377,2021-02-06 11:11:46,0.0
0.8,0.0,297.643,2021-02-06 11:11:47,0.0
0.8,0.0,227.437,2021-02-06 11:11:53,0.0
0.8,0.0,230.82,2021-02-06 11:11:54,0.0
0.8,0.0,189.825,2021-02-06 11:11:55,0.0
0.8,0.0,234.113,2021-02-06 11:11:56,0.0
0.8,0.0,244.427,2021-02-06 11:11:58,0.0
0.8,0.0,250.746,2021-02-06 11:12:01,0.0
0.8,0.0,203.615,2021-02-06 11:12:07,0.0
0.8,0.0,230.108,2021-02-06 11:12:08,0.0
0.8,0.0,205.413,2021-02-06 11:12:09,0.0
0.8,0.0,259.273,2021-02-06 11:12:10,0.0
0.8,0.0,301.341,2021-02-06 11:12:14,0.0
0.8,0.0,206.798,2021-02-06 11:12:16,0.0
0.8,0.0,285.406,2021-02-06 11:12:17,0.0
0.8,0.0,262.766,2021-02-06 11:12:18,0.0
0.8,0.0,252.607,2021-02-06 11:12:19,0.0
0.8,0.0,223.55,2021-02-06 11:12:20,0.0
1.0,0.0,226.898,2021-02-06 11:16:35,0.0
1.0,0.0,223.477,2021-02-06 11:16:36,0.0
1.0,0.0,292.034,2021-02-06 11:16:37,0.0
1.0,0.0,313.033,2021-02-06 11:16:39,0.0
1.0,0.0,289.793,2021-02-06 11:16:40,0.0
1.0,0.0,220.911,2021-02-06 11:16:41,0.0
1.0,0.0,298.993,2021-02-06 11:16:44,0.0
1.0,0.0,276.134,2021-02-06 11:16:51,0.0
1.0,0.0,301.937,2021-02-06 11:16:52,0.0
1.0,0.0,308.642,2021-02-06 11:16:53,0.0
1.0,0.0,287.41,2021-02-06 11:16:56,0.0
1.0,0.0,273.983,2021-02-06 11:16:57,0.0
1.0,0.0,252.122,2021-02-06 11:17:03,0.0
1.0,0.0,262.218,2021-02-06 11:17:04,0.0
1.0,0.0,274.417,2021-02-06 11:17:06,0.0
1.0,0.0,313.233,2021-02-06 11:17:07,0.0
1.0,0.0,262.403,2021-02-06 11:17:09,0.0
1.0,0.0,310.149,2021-02-06 11:17:14,0.0
1.0,0.0,309.628,2021-02-06 11:17:16,0.0
1.0,0.0,292.384,2021-02-06 11:17:17,0.0
1.0,0.0,289.093,2021-02-06 11:17:24,0.0
1.0,0.0,238.161,2021-02-06 11:17:25,0.0
1.0,0.0,249.455,2021-02-06 11:17:26,0.0
1.0,0.0,237.509,2021-02-06 11:17:27,0.0
1.0,0.0,242.507,2021-02-06 11:17:33,0.0
1.0,0.0,255.794,2021-02-06 11:17:37,0.0
1.0,0.0,247.12,2021-02-06 11:17:38,0.0
1.0,0.0,368.688,2021-02-06 11:17:42,0.0
1.0,0.0,272.897,2021-02-06 11:17:44,0.0
1.0,0.0,268.592,2021-02-06 11:17:45,0.0
1.0,0.0,268.374,2021-02-06 11:17:52,0.0
1.0,0.0,297.792,2021-02-06 11:17:54,0.0
1.0,0.0,288.11,2021-02-06 11:17:57,0.0
1.0,0.0,257.802,2021-02-06 11:17:58,0.0
1.0,0.0,246.684,2021-02-06 11:17:59,0.0
1.0,0.0,256.659,2021-02-06 11:18:00,0.0
1.0,0.0,276.401,2021-02-06 11:18:06,0.0
1.0,0.0,271.94,2021-02-06 11:18:07,0.0
1.0,0.0,224.413,2021-02-06 11:18:08,0.0
1.0,0.0,207.317,2021-02-06 11:18:09,0.0
1.0,0.0,202.096,2021-02-06 11:18:10,0.0
1.0,0.0,309.578,2021-02-06 11:18:12,0.0
1.0,0.0,264.442,2021-02-06 11:18:15,0.0
1.0,0.0,277.799,2021-02-06 11:18:16,0.0
1.0,0.0,275.701,2021-02-06 11:18:18,0.0
1.0,0.0,222.265,2021-02-06 11:18:20,0.0
1.0,0.0,260.192,2021-02-06 11:18:23,0.0
1.0,0.0,322.572,2021-02-06 11:18:24,0.0
1.0,0.0,322.654,2021-02-06 11:18:25,0.0
1.0,0.0,330.805,2021-02-06 11:18:26,0.0
1.0,0.0,299.712,2021-02-06 11:18:27,0.0
1.0,0.0,318.442,2021-02-06 11:18:31,0.0
1.0,0.0,268.492,2021-02-06 11:18:36,0.0
1.0,0.0,277.417,2021-02-06 11:18:37,0.0
0.2,0.0,140.648,2021-02-06 11:24:02,0.0
0.2,0.0,146.192,2021-02-06 11:24:03,0.0
0.2,0.0,179.686,2021-02-06 11:24:04,0.0
0.2,0.0,171.653,2021-02-06 11:24:05,0.0
0.2,0.0,171.063,2021-02-06 11:24:07,0.0
0.2,0.0,176.539,2021-02-06 11:24:09,0.0
0.2,0.0,130.136,2021-02-06 11:24:10,0.0
0.2,0.0,185.497,2021-02-06 11:24:11,0.0
0.2,0.0,172.443,2021-02-06 11:24:13,0.0
0.2,0.0,159.283,2021-02-06 11:24:15,0.0
0.2,0.0,214.594,2021-02-06 11:24:19,0.0
0.2,0.0,181.603,2021-02-06 11:24:20,0.0
0.2,0.0,199.113,2021-02-06 11:24:22,0.0
0.2,0.0,190.46,2021-02-06 11:24:23,0.0
0.2,0.0,194.07,2021-02-06 11:24:24,0.0
0.2,0.0,183.949,2021-02-06 11:24:25,0.0
0.2,0.0,200.104,2021-02-06 11:24:28,0.0
0.2,0.0,217.308,2021-02-06 11:24:29,0.0
0.2,0.0,202.808,2021-02-06 11:24:30,0.0
0.2,0.0,193.534,2021-02-06 11:24:31,0.0
0.2,0.0,178.351,2021-02-06 11:24:37,0.0
0.2,0.0,163.374,2021-02-06 11:24:38,0.0
0.2,0.0,172.53,2021-02-06 11:24:39,0.0
0.2,0.0,176.88,2021-02-06 11:24:41,0.0
0.2,0.0,189.822,2021-02-06 11:24:44,0.0
0.2,0.0,204.026,2021-02-06 11:24:47,0.0
0.2,0.0,191.327,2021-02-06 11:24:49,0.0
0.2,0.0,162.181,2021-02-06 11:24:51,0.0
0.2,0.0,196.755,2021-02-06 11:24:52,0.0
0.2,0.0,172.136,2021-02-06 11:24:53,0.0
0.2,0.0,190.895,2021-02-06 11:24:54,0.0
0.2,0.0,187.036,2021-02-06 11:24:56,0.0
0.2,0.0,180.092,2021-02-06 11:24:57,0.0
0.2,0.0,200.859,2021-02-06 11:25:00,0.0
0.2,0.0,156.261,2021-02-06 11:25:01,0.0
0.2,0.0,150.739,2021-02-06 11:25:03,0.0
0.2,0.0,172.063,2021-02-06 11:25:04,0.0
0.2,0.0,175.099,2021-02-06 11:25:07,0.0
0.2,0.0,163.571,2021-02-06 11:25:08,0.0
0.2,0.0,169.863,2021-02-06 11:25:09,0.0
0.2,0.0,173.742,2021-02-06 11:25:12,0.0
0.2,0.0,148.141,2021-02-06 11:25:14,0.0
0.2,0.0,158.981,2021-02-06 11:25:15,0.0
0.2,0.0,151.17,2021-02-06 11:25:16,0.0
0.2,0.0,158.003,2021-02-06 11:25:18,0.0
0.2,0.0,165.644,2021-02-06 11:25:19,0.0
0.2,0.0,181.583,2021-02-06 11:25:20,0.0
0.2,0.0,142.193,2021-02-06 10:56:19,0.0
0.2,0.0,138.888,2021-02-06 10:56:21,0.0
0.2,0.0,148.513,2021-02-06 10:56:31,0.0
0.2,0.0,118.598,2021-02-06 10:56:40,0.0
0.2,0.0,144.896,2021-02-06 10:56:50,0.0
0.2,0.0,166.547,2021-02-06 10:56:52,0.0
0.2,0.0,131.006,2021-02-06 10:56:54,0.0
0.2,0.0,150.813,2021-02-06 10:56:59,0.0
0.2,0.0,148.791,2021-02-06 10:57:01,0.0
0.2,0.0,156.014,2021-02-06 10:57:05,0.0
0.2,0.0,122.499,2021-02-06 10:57:06,0.0
0.2,0.0,149.459,2021-02-06 10:57:07,0.0
0.2,0.0,149.185,2021-02-06 10:57:14,0.0
0.2,0.0,161.847,2021-02-06 10:57:16,0.0
0.2,0.0,140.048,2021-02-06 10:57:23,0.0
0.2,0.0,125.185,2021-02-06 10:57:48,0.0
0.2,0.0,118.757,2021-02-06 10:57:53,0.0
0.2,0.0,144.579,2021-02-06 10:57:56,0.0
0.2,0.0,128.741,2021-02-06 10:58:06,0.0
0.2,0.0,129.694,2021-02-06 10:58:16,0.0
0.2,0.0,153.183,2021-02-06 10:58:20,0.0
0.4,0.0,158.494,2021-02-06 11:00:51,0.0
0.4,0.0,171.344,2021-02-06 11:01:05,0.0
0.4,0.0,177.641,2021-02-06 11:01:37,0.0
0.4,0.0,183.402,2021-02-06 11:01:43,0.0
0.4,0.0,202.555,2021-02-06 11:01:48,0.0
0.4,0.0,177.114,2021-02-06 11:01:49,0.0
0.6,0.0,224.395,2021-02-06 11:05:20,0.0
0.6,0.0,233.535,2021-02-06 11:07:29,0.0
0.6,0.0,255.465,2021-02-06 11:07:30,0.0
0.6,0.0,226.394,2021-02-06 11:07:36,0.0
0.6,0.0,224.659,2021-02-06 11:07:37,0.0
0.6,0.0,236.393,2021-02-06 11:07:38,0.0
0.6,0.0,202.36,2021-02-06 11:07:42,0.0
0.6,0.0,175.893,2021-02-06 11:07:48,0.0
0.6,0.0,193.362,2021-02-06 11:07:51,0.0
0.6,0.0,216.945,2021-02-06 11:07:54,0.0
0.6,0.0,204.599,2021-02-06 11:07:55,0.0
0.6,0.0,258.57,2021-02-06 11:07:57,0.0
0.6,0.0,237.149,2021-02-06 11:08:03,0.0
0.6,0.0,213.741,2021-02-06 11:08:04,0.0
0.6,0.0,261.077,2021-02-06 11:08:05,0.0
0.6,0.0,219.158,2021-02-06 11:08:06,0.0
0.6,0.0,217.685,2021-02-06 11:08:08,0.0
0.6,0.0,197.79,2021-02-06 11:08:09,0.0
0.6,0.0,273.398,2021-02-06 11:08:18,0.0
0.6,0.0,253.204,2021-02-06 11:08:20,0.0
0.6,0.0,213.908,2021-02-06 11:08:21,0.0
0.6,0.0,190.757,2021-02-06 11:08:35,0.0
0.6,0.0,200.244,2021-02-06 11:08:36,0.0
0.6,0.0,201.128,2021-02-06 11:08:37,0.0
0.6,0.0,202.45,2021-02-06 11:08:38,0.0
0.8,0.0,233.182,2021-02-06 11:10:31,0.0
0.8,0.0,229.673,2021-02-06 11:10:32,0.0
0.8,0.0,237.53,2021-02-06 11:10:33,0.0
0.8,0.0,255.02,2021-02-06 11:10:35,0.0
0.8,0.0,227.424,2021-02-06 11:10:40,0.0
0.8,0.0,258.449,2021-02-06 11:10:41,0.0
0.8,0.0,231.779,2021-02-06 11:10:43,0.0
0.8,0.0,212.969,2021-02-06 11:10:46,0.0
0.8,0.0,242.929,2021-02-06 11:10:52,0.0
0.8,0.0,268.252,2021-02-06 11:10:53,0.0
0.8,0.0,228.879,2021-02-06 11:10:54,0.0
0.8,0.0,289.788,2021-02-06 11:10:55,0.0
0.8,0.0,209.924,2021-02-06 11:11:00,0.0
0.8,0.0,284.925,2021-02-06 11:11:01,0.0
0.8,0.0,227.232,2021-02-06 11:11:08,0.0
0.8,0.0,241.468,2021-02-06 11:11:09,0.0
0.8,0.0,224.636,2021-02-06 11:11:10,0.0
0.8,0.0,253.167,2021-02-06 11:11:21,0.0
0.8,0.0,204.17,2021-02-06 11:11:22,0.0
0.8,0.0,190.03,2021-02-06 11:11:23,0.0
0.8,0.0,231.111,2021-02-06 11:11:24,0.0
0.8,0.0,261.196,2021-02-06 11:11:25,0.0
0.8,0.0,256.157,2021-02-06 11:11:26,0.0
0.8,0.0,273.248,2021-02-06 11:11:27,0.0
0.8,0.0,248.332,2021-02-06 11:11:29,0.0
0.8,0.0,245.348,2021-02-06 11:11:38,0.0
0.8,0.0,257.162,2021-02-06 11:11:39,0.0
0.8,0.0,282.254,2021-02-06 11:11:40,0.0
0.8,0.0,226.29,2021-02-06 11:11:41,0.0
0.8,0.0,276.117,2021-02-06 11:11:44,0.0
0.8,0.0,273.377,2021-02-06 11:11:46,0.0
0.8,0.0,297.643,2021-02-06 11:11:47,0.0
0.8,0.0,265.459,2021-02-06 11:11:48,0.0
0.8,0.0,227.437,2021-02-06 11:11:53,0.0
0.8,0.0,230.82,2021-02-06 11:11:54,0.0
0.8,0.0,189.825,2021-02-06 11:11:55,0.0
0.8,0.0,234.113,2021-02-06 11:11:56,0.0
0.8,0.0,244.427,2021-02-06 11:11:58,0.0
0.8,0.0,250.746,2021-02-06 11:12:01,0.0
0.8,0.0,234.197,2021-02-06 11:12:05,0.0
0.8,0.0,203.615,2021-02-06 11:12:07,0.0
0.8,0.0,230.108,2021-02-06 11:12:08,0.0
0.8,0.0,205.413,2021-02-06 11:12:09,0.0
0.8,0.0,259.273,2021-02-06 11:12:10,0.0
0.8,0.0,268.41,2021-02-06 11:12:12,0.0
0.8,0.0,301.341,2021-02-06 11:12:14,0.0
0.8,0.0,220.572,2021-02-06 11:12:15,0.0
0.8,0.0,206.798,2021-02-06 11:12:16,0.0
0.8,0.0,285.406,2021-02-06 11:12:17,0.0
0.8,0.0,262.766,2021-02-06 11:12:18,0.0
0.8,0.0,252.607,2021-02-06 11:12:19,0.0
0.8,0.0,223.55,2021-02-06 11:12:20,0.0
1.0,0.0,304.329,2021-02-06 11:16:31,0.0
1.0,0.0,226.898,2021-02-06 11:16:35,0.0
1.0,0.0,223.477,2021-02-06 11:16:36,0.0
1.0,0.0,292.034,2021-02-06 11:16:37,0.0
1.0,0.0,313.033,2021-02-06 11:16:39,0.0
1.0,0.0,289.793,2021-02-06 11:16:40,0.0
1.0,0.0,220.911,2021-02-06 11:16:41,0.0
1.0,0.0,298.993,2021-02-06 11:16:44,0.0
1.0,0.0,276.134,2021-02-06 11:16:51,0.0
1.0,0.0,301.937,2021-02-06 11:16:52,0.0
1.0,0.0,308.642,2021-02-06 11:16:53,0.0
1.0,0.0,317.613,2021-02-06 11:16:54,0.0
1.0,0.0,287.41,2021-02-06 11:16:56,0.0
1.0,0.0,273.983,2021-02-06 11:16:57,0.0
1.0,0.0,307.63,2021-02-06 11:16:58,0.0
1.0,0.0,252.122,2021-02-06 11:17:03,0.0
1.0,0.0,262.218,2021-02-06 11:17:04,0.0
1.0,0.0,287.493,2021-02-06 11:17:05,0.0
1.0,0.0,274.417,2021-02-06 11:17:06,0.0
1.0,0.0,313.233,2021-02-06 11:17:07,0.0
1.0,0.0,306.093,2021-02-06 11:17:08,0.0
1.0,0.0,262.403,2021-02-06 11:17:09,0.0
1.0,0.0,241.345,2021-02-06 11:17:10,0.0
1.0,0.0,310.149,2021-02-06 11:17:14,0.0
1.0,0.0,309.628,2021-02-06 11:17:16,0.0
1.0,0.0,292.384,2021-02-06 11:17:17,0.0
1.0,0.0,265.49,2021-02-06 11:17:21,0.0
1.0,0.0,295.105,2021-02-06 11:17:22,0.0
1.0,0.0,279.18,2021-02-06 11:17:23,0.0
1.0,0.0,289.093,2021-02-06 11:17:24,0.0
1.0,0.0,238.161,2021-02-06 11:17:25,0.0
1.0,0.0,249.455,2021-02-06 11:17:26,0.0
1.0,0.0,237.509,2021-02-06 11:17:27,0.0
1.0,0.0,242.507,2021-02-06 11:17:33,0.0
1.0,0.0,255.794,2021-02-06 11:17:37,0.0
1.0,0.0,247.12,2021-02-06 11:17:38,0.0
1.0,0.0,314.437,2021-02-06 11:17:41,0.0
1.0,0.0,368.688,2021-02-06 11:17:42,0.0
1.0,0.0,272.897,2021-02-06 11:17:44,0.0
1.0,0.0,268.592,2021-02-06 11:17:45,0.0
1.0,0.0,268.374,2021-02-06 11:17:52,0.0
1.0,0.0,297.792,2021-02-06 11:17:54,0.0
1.0,0.0,288.11,2021-02-06 11:17:57,0.0
1.0,0.0,257.802,2021-02-06 11:17:58,0.0
1.0,0.0,246.684,2021-02-06 11:17:59,0.0
1.0,0.0,256.659,2021-02-06 11:18:00,0.0
